id,image_slot,author,poem_title,category,mood,stanza,source,license
LS072,image_072,Samuel Taylor Coleridge,SCENE IX,Love & Separation,Romantic,"What other angel seek I? To this heart,
To this unerring heart, will I submit it,
Will ask thy love, which has the power to bless                     35
The happy man alone, averted ever
From the disquieted and guilty--canst thou
Still love me, if I stay? Say that thou canst,
And I am the Duke's----",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS073,image_073,H. W. Longfellow,SCENE V. -- VICTORIAN'S chambers at  Alcala.  HYPOLITO asleep in,Love & Separation,Romantic,"Hyp.  Ay, there it is! and, if I were in love,
That is the very point I most should dread.
This magic glass, these magic spells of thine,
Might tell a tale were better left untold.
For instance, they might show us thy fair cousin,
The Lady Violante, bathed in tears
Of love and anger, like the maid of Colchis,
Whom thou, another faithless Argonaut,
Having won that golden fleece, a woman's love,
Desertest for this Glauce.",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
LS074,image_074,Sara Teasdale,This is the spot where I will lie,Love & Separation,Romantic,"""O Soul,"" I said, ""have you no tears?
Was not the body dear to you?""
I heard my soul say carelessly,
""The myrtle flowers will grow more blue.""",https://www.gutenberg.org/ebooks/442,Public domain / CC0 dataset
LS075,image_075,Alfred Tennyson,,Love & Separation,Romantic,"10.
There has fallen a splendid tear
From the passion-flower at the gate.
She is coming, my dove, my dear;
She is coming, my life, my fate;
The red rose cries, *She is near, she is near;'
And the white rose weeps, 'She is late;'
The larkspur listens, 'I hear, I hear;'
And the lily whispers, 'I wait.'",https://www.gutenberg.org/ebooks/56913,Public domain / CC0 dataset
LS076,image_076,Edgar Allan Poe,III,Love & Separation,Romantic,"_Voice_ (_very faintly_). “And is thy heart so strong
As for to leave me thus,
That have loved thee so long,
In wealth and woe among?
And is thy heart so strong
As for to leave me thus?
Say nay! say nay!”",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
LS077,image_077,Edgar Allan Poe,Kind solace in a dying hour!,Love & Separation,Romantic,"O, she was worthy of all love!
Love as in infancy was mine—
’Twas such as angel minds above
Might envy; her young heart the shrine
On which my every hope and thought
Were incense—then a goodly gift,
For they were childish and upright—
Pure as her young example taught:
Why did I leave it, and, adrift,
Trust to the fire within, for light?",https://www.gutenberg.org/ebooks/76996,Public domain / CC0 dataset
LS078,image_078,H. W. Longfellow,BY THE SEASIDE,Love & Separation,Romantic,"And everywhere
The slender, graceful spars
Poise aloft in the air,
And at the mast-head,
White, blue, and red,
A flag unrolls the stripes and stars.
Ah! when the wanderer, lonely, friendless,
In foreign harbors shall behold
That flag unrolled,
'T will be as a friendly hand
Stretched out from his native land,
Filling his heart with memories sweet and endless!",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
LS079,image_079,H. W. Longfellow,FROM THE FRENCH,Love & Separation,Romantic,"Hark! hark!
Pretty lark!
Little heedest thou my pain!
But if to these longing arms
Pitying Love would yield the charms
Of the fair
With smiling air,
Blithe would beat my heart again.",https://www.gutenberg.org/ebooks/1365,Public domain / CC0 dataset
LS080,image_080,Samuel Taylor Coleridge,SCENE I,Love & Separation,Romantic,"_Teresa._ Nay, nay, but tell me!                    [_A pause._
O 'tis lost again!
This dull confuséd pain--                           [_A pause._
Mysterious man!
Methinks I can not fear thee: for thine eye                         75
Doth swim with love and pity--Well! Ordonio--
Oh my foreboding heart! And he suborned thee,
And thou didst spare his life? Blessings shower on thee,
As many as the drops twice counted o'er
In the fond faithful heart of his Teresa!                           80",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
LS081,image_081,Samuel Taylor Coleridge,SCENE II,Love & Separation,Romantic,"_Countess._ 'Twas for that purpose that I bade her leave us.
Thekla, you are no more a child. Your heart
Is now no more in nonage: for you love,
And boldness dwells with love--that you have proved.
Your nature moulds itself upon your father's                        10
More than your mother's spirit. Therefore may you
Hear, what were too much for her fortitude.",https://www.gutenberg.org/ebooks/29090,Public domain / CC0 dataset
